election,office,boro,dist,aded,elname,title,boron,used,cands,num,format,pubct,abs,fed,emer,aff,total,scatter,unrec,dem,demcan,dvote,rep,repcan,rvote,ind,indcan,ivote,cons,concan,cvote,wfp,wfpcan,wfpvote,swp,swpcan,swpvote,soc,soccan,socvote,green,greencan,grnvote,liber,libcan,libvote,pop,popcan,popvote
2008G,1,4,NY,25011,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    11th,482,12,2,0,20,0,1,3,Democratic,Barack Obama / Joe Biden,313,Republican,John McCain / Sarah Palin,163,Independence,John McCain / Sarah Palin,10,Conservative,John McCain / Sarah Palin,13,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,25012,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    12th,285,5,3,0,8,0,0,7,Democratic,Barack Obama / Joe Biden,173,Republican,John McCain / Sarah Palin,98,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25013,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    13th,245,4,2,1,2,0,0,2,Democratic,Barack Obama / Joe Biden,137,Republican,John McCain / Sarah Palin,83,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,10,Working Families,Barack Obama / Joe Biden,14,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25014,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    14th,390,8,5,0,13,0,0,11,Democratic,Barack Obama / Joe Biden,265,Republican,John McCain / Sarah Palin,119,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,12,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25015,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    15th,473,6,1,0,12,0,0,5,Democratic,Barack Obama / Joe Biden,329,Republican,John McCain / Sarah Palin,136,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25016,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    16th,336,15,1,0,3,0,0,13,Democratic,Barack Obama / Joe Biden,189,Republican,John McCain / Sarah Palin,129,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,11,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,25017,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    17th,540,15,3,0,12,0,0,1,Democratic,Barack Obama / Joe Biden,313,Republican,John McCain / Sarah Palin,218,Independence,John McCain / Sarah Palin,11,Conservative,John McCain / Sarah Palin,14,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,3,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25018,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    18th,359,10,1,0,10,0,0,1,Democratic,Barack Obama / Joe Biden,218,Republican,John McCain / Sarah Palin,136,Independence,John McCain / Sarah Palin,11,Conservative,John McCain / Sarah Palin,6,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25019,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    19th,501,9,1,0,5,0,0,2,Democratic,Barack Obama / Joe Biden,266,Republican,John McCain / Sarah Palin,218,Independence,John McCain / Sarah Palin,13,Conservative,John McCain / Sarah Palin,10,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25020,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    20th,518,13,3,0,12,0,0,3,Democratic,Barack Obama / Joe Biden,271,Republican,John McCain / Sarah Palin,235,Independence,John McCain / Sarah Palin,15,Conservative,John McCain / Sarah Palin,10,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,25021,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    21st,289,7,0,0,2,0,0,2,Democratic,Barack Obama / Joe Biden,169,Republican,John McCain / Sarah Palin,106,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25022,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    22nd,507,11,3,0,11,0,0,4,Democratic,Barack Obama / Joe Biden,317,Republican,John McCain / Sarah Palin,180,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,7,Working Families,Barack Obama / Joe Biden,14,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25023,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    23rd,469,11,2,0,7,0,0,8,Democratic,Barack Obama / Joe Biden,308,Republican,John McCain / Sarah Palin,156,Independence,John McCain / Sarah Palin,8,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25024,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    24th,481,11,8,0,12,0,0,4,Democratic,Barack Obama / Joe Biden,277,Republican,John McCain / Sarah Palin,199,Independence,John McCain / Sarah Palin,12,Conservative,John McCain / Sarah Palin,13,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25025,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    25th,348,8,6,0,8,0,0,13,Democratic,Barack Obama / Joe Biden,220,Republican,John McCain / Sarah Palin,125,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25026,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    26th,451,11,16,0,10,0,0,4,Democratic,Barack Obama / Joe Biden,190,Republican,John McCain / Sarah Palin,270,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,7,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25027,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    27th,362,9,8,1,3,0,1,5,Democratic,Barack Obama / Joe Biden,169,Republican,John McCain / Sarah Palin,175,Independence,John McCain / Sarah Palin,12,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,3,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25028,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    28th,536,15,13,0,7,0,0,8,Democratic,Barack Obama / Joe Biden,234,Republican,John McCain / Sarah Palin,296,Independence,John McCain / Sarah Palin,14,Conservative,John McCain / Sarah Palin,9,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25029,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    29th,261,11,7,0,6,0,0,1,Democratic,Barack Obama / Joe Biden,146,Republican,John McCain / Sarah Palin,122,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25030,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    30th,238,7,2,0,3,0,0,1,Democratic,Barack Obama / Joe Biden,122,Republican,John McCain / Sarah Palin,114,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25031,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    31st,434,11,7,0,20,0,0,2,Democratic,Barack Obama / Joe Biden,353,Republican,John McCain / Sarah Palin,95,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25032,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    32nd,189,3,2,0,11,0,0,1,Democratic,Barack Obama / Joe Biden,168,Republican,John McCain / Sarah Palin,30,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,0,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25033,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    33rd,543,14,3,1,26,0,3,3,Democratic,Barack Obama / Joe Biden,363,Republican,John McCain / Sarah Palin,192,Independence,John McCain / Sarah Palin,12,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25034,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    34th,459,15,3,0,18,0,0,7,Democratic,Barack Obama / Joe Biden,411,Republican,John McCain / Sarah Palin,58,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25035,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    35th,445,18,2,0,20,0,1,6,Democratic,Barack Obama / Joe Biden,331,Republican,John McCain / Sarah Palin,131,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25036,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    36th,463,4,11,0,6,0,0,5,Democratic,Barack Obama / Joe Biden,286,Republican,John McCain / Sarah Palin,165,Independence,John McCain / Sarah Palin,10,Conservative,John McCain / Sarah Palin,7,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,25037,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    37th,438,15,0,0,8,0,0,2,Democratic,Barack Obama / Joe Biden,305,Republican,John McCain / Sarah Palin,127,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,12,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25038,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    38th,321,11,0,0,14,0,0,2,Democratic,Barack Obama / Joe Biden,269,Republican,John McCain / Sarah Palin,57,Independence,John McCain / Sarah Palin,8,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25039,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    39th,445,21,9,0,6,0,0,1,Democratic,Barack Obama / Joe Biden,373,Republican,John McCain / Sarah Palin,74,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,9,Working Families,Barack Obama / Joe Biden,14,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,6
2008G,1,4,NY,25040,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    40th,515,16,6,1,9,0,0,1,Democratic,Barack Obama / Joe Biden,398,Republican,John McCain / Sarah Palin,111,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,10,Working Families,Barack Obama / Joe Biden,14,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25041,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    41st,527,4,3,0,15,0,0,3,Democratic,Barack Obama / Joe Biden,367,Republican,John McCain / Sarah Palin,145,Independence,John McCain / Sarah Palin,14,Conservative,John McCain / Sarah Palin,12,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25042,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    42nd,419,9,4,0,9,0,0,2,Democratic,Barack Obama / Joe Biden,270,Republican,John McCain / Sarah Palin,144,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25043,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    43rd,116,2,1,0,0,0,0,0,Democratic,Barack Obama / Joe Biden,84,Republican,John McCain / Sarah Palin,28,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25044,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    44th,398,9,11,0,18,0,1,6,Democratic,Barack Obama / Joe Biden,297,Republican,John McCain / Sarah Palin,111,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25045,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    45th,514,16,3,2,22,0,0,9,Democratic,Barack Obama / Joe Biden,399,Republican,John McCain / Sarah Palin,120,Independence,John McCain / Sarah Palin,6,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,13,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,4
2008G,1,4,NY,25046,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    46th,453,49,3,0,25,0,0,4,Democratic,Barack Obama / Joe Biden,408,Republican,John McCain / Sarah Palin,93,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,11,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25047,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    47th,423,14,3,0,26,0,0,2,Democratic,Barack Obama / Joe Biden,349,Republican,John McCain / Sarah Palin,94,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,13,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,25048,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    48th,310,7,1,0,28,0,0,0,Democratic,Barack Obama / Joe Biden,296,Republican,John McCain / Sarah Palin,37,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,25049,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    49th,318,3,0,0,20,0,0,0,Democratic,Barack Obama / Joe Biden,286,Republican,John McCain / Sarah Palin,47,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25050,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    50th,262,7,2,0,15,0,0,2,Democratic,Barack Obama / Joe Biden,214,Republican,John McCain / Sarah Palin,49,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,11,Socialist Workers,Roger Calero / Alyson Ken,2,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25051,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    51st,280,4,2,0,12,0,0,3,Democratic,Barack Obama / Joe Biden,227,Republican,John McCain / Sarah Palin,55,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25052,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    52nd,310,2,1,0,26,0,0,1,Democratic,Barack Obama / Joe Biden,272,Republican,John McCain / Sarah Palin,59,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25053,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    53rd,459,12,8,0,11,0,1,8,Democratic,Barack Obama / Joe Biden,363,Republican,John McCain / Sarah Palin,91,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,6,Working Families,Barack Obama / Joe Biden,14,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25054,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    54th,324,7,4,56,30,0,0,3,Democratic,Barack Obama / Joe Biden,328,Republican,John McCain / Sarah Palin,74,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25055,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    55th,489,9,4,0,42,0,0,6,Democratic,Barack Obama / Joe Biden,434,Republican,John McCain / Sarah Palin,93,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25056,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    56th,445,41,2,0,16,0,0,9,Democratic,Barack Obama / Joe Biden,400,Republican,John McCain / Sarah Palin,76,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,13,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25057,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    57th,129,0,3,0,1,0,0,0,Democratic,Barack Obama / Joe Biden,117,Republican,John McCain / Sarah Palin,13,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,0,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,25058,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    58th,395,7,5,0,14,0,0,3,Democratic,Barack Obama / Joe Biden,342,Republican,John McCain / Sarah Palin,53,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,11,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,25059,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    59th,246,2,1,0,15,0,0,3,Democratic,Barack Obama / Joe Biden,232,Republican,John McCain / Sarah Palin,17,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
